Job Title,Annual Mean,PRSE
Pharmacists,"118,120",1.6
Anesthesiologists,"263,530",8.7
Family and General Practitioners,"201,160",3.6
"Internists, General","196,770",7.2
Obstetricians and Gynecologists,"222,050",3.5
"Pediatricians, General","176,860",3
Psychiatrists,"208,970",4.6
Surgeons,"260,290",4
"Physicians and Surgeons, All Other","179,130",3.2
Physician Assistants,"115,800",0.8
Podiatrists,"158,280",5.9
Occupational Therapists,"95,210",1.8
Physical Therapists,"92,440",1.2
Radiation Therapists,"106,220",1.6
Recreational Therapists,"56,000",1.3
Respiratory Therapists,"77,720",0.6
Speech-Language Pathologists,"93,130",2.5
Exercise Physiologists,"65,630",9.4
"Therapists, All Other","74,490",7.6
Veterinarians,"127,200",4.1
Registered Nurses,"89,400",0.8
Nurse Anesthetists,"185,240",3.7
Nurse Midwives,"108,390",2
Nurse Practitioners,"122,850",2.5
Audiologists,"89,140",2.6
"Health Diagnosing and Treating Practitioners, All Other","83,060",4
Clinical Laboratory Technologists and Technicians,"65,410",1.1
Dental Hygienists,"86,820",1.3
Cardiovascular Technologists and Technicians,"65,140",1.3
Diagnostic Medical Sonographers,"75,800",1.2
Nuclear Medicine Technologists,"90,690",1.6
Radiologic Technologists,"71,410",1.1
Magnetic Resonance Imaging Technologists,"82,870",1.1
Emergency Medical Technicians and Paramedics,"43,430",2.4
Dietetic Technicians,"42,060",1.2
Pharmacy Technicians,"34,450",2
Psychiatric Technicians,"45,150",1.7
Respiratory Therapy Technicians,"63,290",2.3
Surgical Technologists,"56,190",1
Veterinary Technologists and Technicians,"42,440",2.9
Ophthalmic Medical Technicians,"40,990",2.7
Licensed Practical and Licensed Vocational Nurses,"54,180",0.6
Medical Records and Health Information Technicians,"51,180",1.5
"Opticians, Dispensing","57,060",3.5
Orthotists and Prosthetists,"82,800",10
Hearing Aid Specialists,"65,620",4.1
"Health Technologists and Technicians, All Other","52,990",2.3
Occupational Health and Safety Specialists,"80,730",3.2
Occupational Health and Safety Technicians,"63,030",2.7
Athletic Trainers,"54,990",3.1
Genetic Counselors,"82,910",1.3
"Healthcare Practitioners and Technical Workers, All Other","82,210",3
Healthcare Support Occupations,"30,970",1.1
Home Health Aides,"24,280",0.9
Psychiatric Aides,"40,090",1.8
Nursing Assistants,"35,190",0.6
Orderlies,"33,120",1
Occupational Therapy Assistants,"66,210",1.8
Occupational Therapy Aides,"35,470",6
Physical Therapist Assistants,"62,190",1.5
Physical Therapist Aides,"27,630",1.7
Massage Therapists,"56,270",4.5
Dental Assistants,"39,160",3.1
Medical Assistants,"36,630",0.9
Medical Equipment Preparers,"41,770",1.8
Medical Transcriptionists,"43,810",2.8
Pharmacy Aides,"30,450",4.1
Veterinary Assistants and Laboratory Animal Caretakers,"31,280",2.9
Phlebotomists,"40,950",1.2
"Healthcare Support Workers, All Other","37,470",1.7
Protective Service Occupations,"53,210",3.2
First-Line Supervisors of Correctional Officers,"96,390",1.9
First-Line Supervisors of Police and Detectives,"119,580",2
First-Line Supervisors of Fire Fighting and Prevention Workers,"110,780",1.6
"First-Line Supervisors of Protective Service Workers, All Other","64,650",3.8
Firefighters,"75,700",2.4
Fire Inspectors and Investigators,"55,700",2.4
Forest Fire Inspectors and Prevention Specialists,*,*
Bailiffs,"65,360",2.7
Correctional Officers and Jailers,"69,180",1.8
Detectives and Criminal Investigators,"95,160",3.7
Fish and Game Wardens,"62,620",1.5
Parking Enforcement Workers,"40,900",2.5
Police and Sheriff's Patrol Officers,"78,360",2.8
Transit and Railroad Police,"80,710",3.7
Animal Control Workers,"44,630",4.7
Private Detectives and Investigators,"63,120",3
Gaming Surveillance Officers and Gaming Investigators,"38,510",10.9
Security Guards,"33,820",2.3
Crossing Guards,"33,910",1.7
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","26,240",2
"Protective Service Workers, All Other","30,960",2.7
Food Preparation and Serving Related Occupations,"29,000",0.8
Chefs and Head Cooks,"51,090",6.6
First-Line Supervisors of Food Preparation and Serving Workers,"43,060",1.4
"Cooks, Fast Food","23,230",2.3
"Cooks, Institution and Cafeteria","34,930",1
"Cooks, Restaurant","29,960",1.5
"Cooks, Short Order","24,480",2.9
"Cooks, All Other","33,230",5.5
Food Preparation Workers,"25,900",2.4
Bartenders,"33,290",2.3
"Combined Food Preparation and Serving Workers, Including Fast Food","23,400",0.7
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","23,090",1.5
Waiters and Waitresses,"31,190",2
"Food Servers, Nonrestaurant","30,410",1.3
Dining Room and Cafeteria Attendants and Bartender Helpers,"27,060",2.6
Dishwashers,"25,000",1.4
