Job Title,Level,Annual Mean,PRSE
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,40180,3.7
Helpers--Roofers,detailed,25440,12.4
"Helpers, Construction Trades, All Other",detailed,33250,4.5
Construction and Building Inspectors,detailed,69980,1.8
Elevator Installers and Repairers,detailed,81070,3.8
Fence Erectors,detailed,36280,13.2
Hazardous Materials Removal Workers,detailed,65260,2.9
Highway Maintenance Workers,detailed,49290,1.4
Rail-Track Laying and Maintenance Equipment Operators,detailed,70230,4
Septic Tank Servicers and Sewer Pipe Cleaners,detailed,47910,4.2
Miscellaneous Construction and Related Workers,detailed,51510,13.9
"Earth Drillers, Except Oil and Gas",detailed,69970,6.1
"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,68700,9.4
"Rock Splitters, Quarry",detailed,32360,11.5
Helpers--Extraction Workers,detailed,35030,15.5
"Installation, Maintenance, and Repair ",major,54630,0.8
"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,81450,0.8
"Computer, Automated Teller, and Office Machine Repairers",detailed,45510,2.5
"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,69800,4.3
"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,67480,2.1
Avionics Technicians,detailed,66800,3.1
"Electric Motor, Power Tool, and Related Repairers",detailed,50330,6.4
"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,66450,5.5
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,64750,2.3
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,79540,3.2
"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,42590,6.4
Electronic Home Entertainment Equipment Installers and Repairers,detailed,38470,6.2
Security and Fire Alarm Systems Installers,detailed,51470,4.8
Aircraft Mechanics and Service Technicians,detailed,67510,2
Automotive Body and Related Repairers,detailed,48170,2.6
Automotive Glass Installers and Repairers,detailed,34660,13.1
Automotive Service Technicians and Mechanics,detailed,46760,2
Bus and Truck Mechanics and Diesel Engine Specialists,detailed,58470,2.2
Farm Equipment Mechanics and Service Technicians,detailed,51990,7.1
"Mobile Heavy Equipment Mechanics, Except Engines",detailed,62460,2.6
Rail Car Repairers,detailed,80210,4.7
Motorboat Mechanics and Service Technicians,detailed,45570,6.5
Motorcycle Mechanics,detailed,41390,2.7
Outdoor Power Equipment and Other Small Engine Mechanics,detailed,43240,3.1
Bicycle Repairers,detailed,34920,9.2
Recreational Vehicle Service Technicians,detailed,39700,7.9
Tire Repairers and Changers,detailed,27950,2.9
Mechanical Door Repairers,detailed,46770,3.4
"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,74580,2.9
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,61160,1.9
Home Appliance Repairers,detailed,43530,6
Industrial Machinery Mechanics,detailed,60000,1.3
"Maintenance Workers, Machinery",detailed,53090,3.6
Millwrights,detailed,72400,4.7
Electrical Power-Line Installers and Repairers,detailed,81490,2
Telecommunications Line Installers and Repairers,detailed,78040,2.5
Camera and Photographic Equipment Repairers,detailed,46710,6.4
Medical Equipment Repairers,detailed,62390,4.5
Musical Instrument Repairers and Tuners,detailed,43830,5.9
Watch Repairers,detailed,44300,5.7
"Precision Instrument and Equipment Repairers, All Other",detailed,54340,5.6
"Maintenance and Repair Workers, General",detailed,46840,1.1
"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,44930,4.1
Commercial Divers,detailed,114860,5.2
Locksmiths and Safe Repairers,detailed,48060,4.8
Riggers,detailed,70180,6.1
Signal and Track Switch Repairers,detailed,71210,6.1
"Helpers--Installation, Maintenance, and Repair Workers",detailed,34990,3.6
"Installation, Maintenance, and Repair Workers, All Other",detailed,38960,2.9
Production ,major,39880,0.6
First-Line Supervisors of Production and Operating Workers,detailed,71530,0.9
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,43320,6.6
"Coil Winders, Tapers, and Finishers",detailed,36680,3.5
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detailed,35890,1.5
Engine and Other Machine Assemblers,detailed,42100,5.4
Structural Metal Fabricators and Fitters,detailed,49630,6.5
Fiberglass Laminators and Fabricators,detailed,47090,8.9
"Assemblers and Fabricators, All Other, Including Team Assemblers",detailed,31180,1.6
Bakers,detailed,31070,2.2
Butchers and Meat Cutters,detailed,38760,3.1
"Meat, Poultry, and Fish Cutters and Trimmers",detailed,30610,8.4
Slaughterers and Meat Packers,detailed,27320,7.1
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,33210,5.1
Food Batchmakers,detailed,27860,2.3
Food Cooking Machine Operators and Tenders,detailed,27580,2.9
"Food Processing Workers, All Other",detailed,27570,4.5
"Computer-Controlled Machine Tool Operators, Metal and Plastic",detailed,43080,1.6
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detailed,63470,2.5
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,36480,2
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,39750,4.5
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,39150,4.3
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,34980,2.1
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,33320,5
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,35270,2
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,41270,2.8
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,47820,3.5
Machinists,detailed,48060,2.6
Metal-Refining Furnace Operators and Tenders,detailed,45890,5.2
"Pourers and Casters, Metal",detailed,42320,5.7
"Model Makers, Metal and Plastic",detailed,60660,10.1
Foundry Mold and Coremakers,detailed,35130,10
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,35240,3.8
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,34340,2.4
Tool and Die Makers,detailed,57570,2
"Welders, Cutters, Solderers, and Brazers",detailed,50540,2.3
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,42330,4.8
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,36190,5.2
"Layout Workers, Metal and Plastic",detailed,47470,8.9
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,35310,4.1
"Tool Grinders, Filers, and Sharpeners",detailed,32320,10.6
"Metal Workers and Plastic Workers, All Other",detailed,36970,6.3
Prepress Technicians and Workers,detailed,51300,2.8
Printing Press Operators,detailed,44810,2.3
Print Binding and Finishing Workers,detailed,36680,4.3
Laundry and Dry-Cleaning Workers,detailed,25210,1.6
"Pressers, Textile, Garment, and Related Materials",detailed,24110,2.4
Sewing Machine Operators,detailed,26980,3
Shoe and Leather Workers and Repairers,detailed,26280,6
"Sewers, Hand",detailed,25870,4.7
"Tailors, Dressmakers, and Custom Sewers",detailed,0,*
Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,30660,4.5
"Textile Cutting Machine Setters, Operators, and Tenders",detailed,34230,2.8
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,27810,10.5
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,31990,4
Fabric and Apparel Patternmakers,detailed,58530,8.5
Upholsterers,detailed,43230,5.6
"Textile, Apparel, and Furnishings Workers, All Other",detailed,37040,7.1
Cabinetmakers and Bench Carpenters,detailed,43990,2.3
Furniture Finishers,detailed,39470,3.3
"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,40100,8.7
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,40050,4.8
"Woodworkers, All Other",detailed,41310,12.4
Power Distributors and Dispatchers,detailed,95140,2.3
Power Plant Operators,detailed,82850,2.1
Stationary Engineers and Boiler Operators,detailed,79780,2.2
Water and Wastewater Treatment Plant and System Operators,detailed,62210,1.7
Chemical Plant and System Operators,detailed,63620,8.6
Gas Plant Operators,detailed,76730,3.6
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,73950,10.2
"Plant and System Operators, All Other",detailed,65880,3.7
Chemical Equipment Operators and Tenders,detailed,44410,2.4
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,46670,5.5
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,35760,4.9
"Grinding and Polishing Workers, Hand",detailed,40190,5.6
"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,42370,2.9
"Cutters and Trimmers, Hand",detailed,34520,12.4
"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,33350,2.6
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,32800,2.9
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,40720,2.8
"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,42660,1.6
Jewelers and Precious Stone and Metal Workers,detailed,49860,5.8
Dental Laboratory Technicians,detailed,46980,6.1
Medical Appliance Technicians,detailed,45210,7.3
Ophthalmic Laboratory Technicians,detailed,38700,3.3
Packaging and Filling Machine Operators and Tenders,detailed,29460,1.6
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,37900,4.4
"Painters, Transportation Equipment",detailed,48920,3
"Painting, Coating, and Decorating Workers",detailed,31800,3.4
Photographic Process Workers and Processing Machine Operators,detailed,41770,6.4
Adhesive Bonding Machine Operators and Tenders,detailed,35010,5.5
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,33060,3.5
Cooling and Freezing Equipment Operators and Tenders,detailed,35300,8.2
Etchers and Engravers,detailed,35670,10.6
"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,40980,2.5
"Paper Goods Machine Setters, Operators, and Tenders",detailed,31500,2.4
Tire Builders,detailed,27020,3.7
Helpers--Production Workers,detailed,28600,1.7
"Production Workers, All Other",detailed,33170,3.7
Transportation and Material Moving ,major,41060,2.5
Aircraft Cargo Handling Supervisors,detailed,49880,4.7
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,61880,1.2
"Airline Pilots, Copilots, and Flight Engineers",detailed,154640,15.8
Commercial Pilots,detailed,95750,5.5
Air Traffic Controllers,detailed,137400,3
Airfield Operations Specialists,detailed,61500,3
Flight Attendants,detailed,44860,6.6
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,34480,4.8
"Bus Drivers, Transit and Intercity",detailed,57570,4.7
"Bus Drivers, School or Special Client",detailed,40590,1.5
Driver/Sales Workers,detailed,28860,3.1
Heavy and Tractor-Trailer Truck Drivers,detailed,50910,1.3
Light Truck or Delivery Services Drivers,detailed,38570,1.9
Taxi Drivers and Chauffeurs,detailed,34090,2.6
"Motor Vehicle Operators, All Other",detailed,35720,3.1
Railroad Conductors and Yardmasters,detailed,56180,3.4
Subway and Streetcar Operators,detailed,72140,5.2
Sailors and Marine Oilers,detailed,47170,5.2
"Captains, Mates, and Pilots of Water Vessels",detailed,89440,5.1
Motorboat Operators,detailed,48350,3.8
Ship Engineers,detailed,93770,4.1
Bridge and Lock Tenders,detailed,45430,2
Parking Lot Attendants,detailed,24040,1
Automotive and Watercraft Service Attendants,detailed,22440,1.4
Traffic Technicians,detailed,55570,6.3
Transportation Inspectors,detailed,69670,4.1
"Transportation Attendants, Except Flight Attendants",detailed,28920,5.5
"Transportation Workers, All Other",detailed,44890,6.3
Conveyor Operators and Tenders,detailed,38040,8.3
Crane and Tower Operators,detailed,103730,6.9
Excavating and Loading Machine and Dragline Operators,detailed,64490,5.3
Industrial Truck and Tractor Operators,detailed,39050,1.6
Cleaners of Vehicles and Equipment,detailed,31400,11.5
"Laborers and Freight, Stock, and Material Movers, Hand",detailed,30920,1
Machine Feeders and Offbearers,detailed,29720,2.9
"Packers and Packagers, Hand",detailed,24990,1.1
Gas Compressor and Gas Pumping Station Operators,detailed,55350,11.6
"Pump Operators, Except Wellhead Pumpers",detailed,45270,3.7
Refuse and Recyclable Material Collectors,detailed,56300,3.6
"Tank Car, Truck, and Ship Loaders",detailed,57190,7.4
"Material Moving Workers, All Other",detailed,53160,4.1
