Job Title,Level,Annual Mean,PRSE
Cartographers and Photogrammetrists,detailed,71390,10.4
Surveyors,detailed,74180,3.8
Aerospace Engineers,detailed,106370,4.3
Biomedical Engineers,detailed,107220,3.9
Chemical Engineers,detailed,101250,2.4
Civil Engineers,detailed,100850,1.4
Computer Hardware Engineers,detailed,113880,2.6
Electrical Engineers,detailed,105700,1.4
"Electronics Engineers, Except Computer",detailed,105030,1.6
Environmental Engineers,detailed,96390,2.4
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,99500,2.9
Industrial Engineers,detailed,100100,4.7
Materials Engineers,detailed,98250,2.5
Mechanical Engineers,detailed,95360,1.3
"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,90350,3
Nuclear Engineers,detailed,120990,2.5
Petroleum Engineers,detailed,193950,6.4
"Engineers, All Other",detailed,105450,1.9
Architectural and Civil Drafters,detailed,57820,1.8
Electrical and Electronics Drafters,detailed,69420,7.5
Mechanical Drafters,detailed,66000,3.6
"Drafters, All Other",detailed,64730,3.8
Aerospace Engineering and Operations Technicians,detailed,61970,2.2
Civil Engineering Technicians,detailed,0,*
Electrical and Electronics Engineering Technicians,detailed,70020,1.4
Electro-Mechanical Technicians,detailed,64710,6.5
Environmental Engineering Technicians,detailed,60670,5
Industrial Engineering Technicians,detailed,59860,2.9
Mechanical Engineering Technicians,detailed,61750,4.8
"Engineering Technicians, Except Drafters, All Other",detailed,69030,2.9
Surveying and Mapping Technicians,detailed,54670,3
"Life, Physical, and Social Science ",major,87460,2.8
Food Scientists and Technologists,detailed,79340,4.7
Soil and Plant Scientists,detailed,70380,6.4
Biochemists and Biophysicists,detailed,139550,7.9
Microbiologists,detailed,76880,2.7
Zoologists and Wildlife Biologists,detailed,76230,2.1
"Biological Scientists, All Other",detailed,87390,1.9
Conservation Scientists,detailed,0,*
Foresters,detailed,67340,4.6
Epidemiologists,detailed,92650,5.4
"Medical Scientists, Except Epidemiologists",detailed,101320,4.3
"Life Scientists, All Other",detailed,87460,7.3
Physicists,detailed,141810,6.3
Atmospheric and Space Scientists,detailed,101710,4.8
Chemists,detailed,88700,2
Materials Scientists,detailed,104120,3.8
"Environmental Scientists and Specialists, Including Health",detailed,86580,2.8
"Geoscientists, Except Hydrologists and Geographers",detailed,81040,4.1
Hydrologists,detailed,85200,3.6
"Physical Scientists, All Other",detailed,97770,2.7
Economists,detailed,138200,3.9
Survey Researchers,detailed,61640,3.2
"Clinical, Counseling, and School Psychologists",detailed,96790,2.8
"Psychologists, All Other",detailed,99750,2
Sociologists,detailed,72620,7.8
Urban and Regional Planners,detailed,82020,3.8
Anthropologists and Archeologists,detailed,69850,10
Historians,detailed,65200,3.9
Political Scientists,detailed,121800,3.2
"Social Scientists and Related Workers, All Other",detailed,84910,2.5
Agricultural and Food Science Technicians,detailed,55720,6.8
Biological Technicians,detailed,50900,1.8
Chemical Technicians,detailed,61580,7.4
Geological and Petroleum Technicians,detailed,69550,13.8
Nuclear Technicians,detailed,110790,3
Social Science Research Assistants,detailed,57650,2.1
"Environmental Science and Protection Technicians, Including Health",detailed,56090,2.8
Forensic Science Technicians,detailed,68110,1.8
Forest and Conservation Technicians,detailed,35590,6.1
"Life, Physical, and Social Science Technicians, All Other",detailed,57320,2.4
Community and Social Service ,major,54830,1.4
