,Borough,Neighborhood,Type of home,Number of sales,Lowest sale price,Average sale price,Median sale price,Highest sale price
85,Brooklyn,FORT GREENE              ,01 ONE FAMILY HOMES     ,5,395000,1914614,1750000,3717700
86,Brooklyn,FORT GREENE              ,02 TWO FAMILY HOMES     ,15,998000,2663506,2500000,4775000
87,Brooklyn,FORT GREENE              ,03 THREE FAMILY HOMES   ,11,501000,2123757,2250000,3972100
88,Brooklyn,GERRITSEN BEACH          ,01 ONE FAMILY HOMES     ,75,200000,422778,425000,737500
89,Brooklyn,GERRITSEN BEACH          ,02 TWO FAMILY HOMES     ,8,415000,508375,515000,625000
90,Brooklyn,GOWANUS                  ,01 ONE FAMILY HOMES     ,8,634636,1855362,1252500,3920262
91,Brooklyn,GOWANUS                  ,02 TWO FAMILY HOMES     ,16,725000,1585335,1432500,3775000
92,Brooklyn,GOWANUS                  ,03 THREE FAMILY HOMES   ,10,960000,1860000,1525000,3500000
93,Brooklyn,GRAVESEND                ,01 ONE FAMILY HOMES     ,53,269000,730226,730000,1520000
94,Brooklyn,GRAVESEND                ,02 TWO FAMILY HOMES     ,128,207000,892999,912500,1550000
95,Brooklyn,GRAVESEND                ,03 THREE FAMILY HOMES   ,44,300000,1090310,1130375,1650000
96,Brooklyn,GREENPOINT               ,01 ONE FAMILY HOMES     ,4,920000,1249000,1275000,1526000
97,Brooklyn,GREENPOINT               ,02 TWO FAMILY HOMES     ,26,508000,2013564,1832500,4470000
98,Brooklyn,GREENPOINT               ,03 THREE FAMILY HOMES   ,23,689000,1785435,1800000,2600000
99,Brooklyn,KENSINGTON               ,01 ONE FAMILY HOMES     ,12,480000,1075125,1130000,1447000
100,Brooklyn,KENSINGTON               ,02 TWO FAMILY HOMES     ,18,262454,988303,992000,2075000
101,Brooklyn,KENSINGTON               ,03 THREE FAMILY HOMES   ,2,583333,916667,916667,1250000
102,Brooklyn,MADISON                  ,01 ONE FAMILY HOMES     ,85,325000,814519,775000,1860000
103,Brooklyn,MADISON                  ,02 TWO FAMILY HOMES     ,49,250000,888314,853000,1850000
104,Brooklyn,MADISON                  ,03 THREE FAMILY HOMES   ,3,855000,988333,910000,1200000
105,Brooklyn,MANHATTAN BEACH          ,01 ONE FAMILY HOMES     ,29,285000,1263290,1260000,2267500
106,Brooklyn,MANHATTAN BEACH          ,02 TWO FAMILY HOMES     ,10,559523,1346652,1167500,3200000
107,Brooklyn,MARINE PARK              ,01 ONE FAMILY HOMES     ,182,250000,607236,607500,1445000
108,Brooklyn,MARINE PARK              ,02 TWO FAMILY HOMES     ,54,228500,661737,660000,980000
109,Brooklyn,MARINE PARK              ,03 THREE FAMILY HOMES   ,4,585000,805000,842500,949999
110,Brooklyn,MIDWOOD                  ,01 ONE FAMILY HOMES     ,107,200000,1053492,900000,6750000
111,Brooklyn,MIDWOOD                  ,02 TWO FAMILY HOMES     ,50,200000,1034444,937000,3090000
112,Brooklyn,MIDWOOD                  ,03 THREE FAMILY HOMES   ,17,298333,968300,960000,2000000
113,Brooklyn,MILL BASIN               ,01 ONE FAMILY HOMES     ,71,450000,985109,920000,2000000
114,Brooklyn,MILL BASIN               ,02 TWO FAMILY HOMES     ,32,328730,816218,790000,1500000
115,Brooklyn,NAVY YARD                ,01 ONE FAMILY HOMES     ,10,1942565,2036684,2013651,2138325
116,Brooklyn,NAVY YARD                ,02 TWO FAMILY HOMES     ,3,875000,1400000,1275000,2050000
117,Brooklyn,OCEAN HILL               ,01 ONE FAMILY HOMES     ,19,235800,685271,730000,1260000
118,Brooklyn,OCEAN HILL               ,02 TWO FAMILY HOMES     ,105,205000,747202,730000,1549000
119,Brooklyn,OCEAN HILL               ,03 THREE FAMILY HOMES   ,62,245000,824711,742007,1735000
120,Brooklyn,OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES     ,91,300000,1292362,980000,7000000
121,Brooklyn,OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES     ,72,325000,1221875,1100000,3450000
122,Brooklyn,OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES   ,15,400000,1309000,1260000,3225000
123,Brooklyn,OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES     ,34,290000,1869503,1112500,11360000
124,Brooklyn,OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES     ,66,300000,1206506,932500,5350000
125,Brooklyn,OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES   ,17,350000,1099100,1200000,1550000
126,Brooklyn,OLD MILL BASIN           ,01 ONE FAMILY HOMES     ,100,205000,451733,440000,890000
127,Brooklyn,OLD MILL BASIN           ,02 TWO FAMILY HOMES     ,42,265000,539499,534000,980000
128,Brooklyn,OLD MILL BASIN           ,03 THREE FAMILY HOMES   ,7,320000,625714,685000,855000
129,Brooklyn,PARK SLOPE               ,01 ONE FAMILY HOMES     ,11,1915000,4381193,4800000,7500000
130,Brooklyn,PARK SLOPE               ,02 TWO FAMILY HOMES     ,38,404000,2871369,3120750,4100000
131,Brooklyn,PARK SLOPE               ,03 THREE FAMILY HOMES   ,26,816666,2630811,2425000,5700000
132,Brooklyn,PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES     ,14,412870,1777878,1433714,4000000
133,Brooklyn,PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES     ,31,330015,1763312,1650000,3258400
134,Brooklyn,PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES   ,6,549000,5271500,1740000,19875000
135,Brooklyn,PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES     ,3,2165000,2955000,3300000,3400000
136,Brooklyn,PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES     ,14,1610000,2608429,2465000,4200000
137,Brooklyn,PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES   ,2,3710000,3780000,3780000,3850000
138,Brooklyn,RED HOOK                 ,01 ONE FAMILY HOMES     ,4,1215000,1858797,1710000,2800187
139,Brooklyn,RED HOOK                 ,02 TWO FAMILY HOMES     ,12,580000,1467917,1550000,2265000
140,Brooklyn,RED HOOK                 ,03 THREE FAMILY HOMES   ,2,540000,1117500,1117500,1695000
141,Brooklyn,SEAGATE                  ,01 ONE FAMILY HOMES     ,14,250000,477482,457750,725000
142,Brooklyn,SEAGATE                  ,02 TWO FAMILY HOMES     ,13,300000,598853,635000,834965
143,Brooklyn,SEAGATE                  ,03 THREE FAMILY HOMES   ,2,635520,697760,697760,760000
144,Brooklyn,SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES     ,81,240000,666231,658000,1480000
145,Brooklyn,SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES     ,130,275000,787250,775000,1700000
146,Brooklyn,SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES   ,18,400000,886972,871000,1500000
147,Brooklyn,SUNSET PARK              ,01 ONE FAMILY HOMES     ,12,350000,1044306,922500,2075000
148,Brooklyn,SUNSET PARK              ,02 TWO FAMILY HOMES     ,116,350000,1174973,1150000,3000000
149,Brooklyn,SUNSET PARK              ,03 THREE FAMILY HOMES   ,45,269851,1088464,990000,3100000
150,Brooklyn,WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES     ,3,800000,1466667,1500000,2100000
151,Brooklyn,WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES   ,10,300000,776351,700930,1430000
152,Brooklyn,WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES     ,20,325000,1594775,1487500,2900000
153,Brooklyn,WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES     ,32,370000,1629953,1525000,5500000
154,Brooklyn,WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES   ,11,995000,2182982,2075000,3800000
155,Brooklyn,WILLIAMSBURG-NORTH       ,01 ONE FAMILY HOMES     ,4,1100000,3725000,2525000,8750000
156,Brooklyn,WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES     ,6,900000,3638500,2100000,13181000
157,Brooklyn,WILLIAMSBURG-NORTH       ,03 THREE FAMILY HOMES   ,8,985000,2915000,2262500,7200000
158,Brooklyn,WILLIAMSBURG-SOUTH       ,01 ONE FAMILY HOMES     ,7,1955040,3202685,3100000,4582125
159,Brooklyn,WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES     ,7,289000,1373429,1500000,2000000
160,Brooklyn,WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES   ,6,760000,2514167,2587500,3600000
161,Brooklyn,WINDSOR TERRACE          ,01 ONE FAMILY HOMES     ,6,1125000,1653100,1555000,2433600
162,Brooklyn,WINDSOR TERRACE          ,02 TWO FAMILY HOMES     ,28,600000,1420909,1400000,2250000
163,Brooklyn,WINDSOR TERRACE          ,03 THREE FAMILY HOMES   ,7,453596,1721228,1570000,2600000
164,Brooklyn,WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES     ,1,670000,670000,670000,670000
165,Brooklyn,WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES     ,10,416000,941700,974500,1700000
166,Brooklyn,WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES   ,14,500000,1116714,1200000,1600000
0,Bronx, BATHGATE                  , 01 ONE FAMILY HOMES      ,4,220000,253760,252520,290000
1,Bronx, BATHGATE                  , 02 TWO FAMILY HOMES      ,15,240000,443767,470000,680000
2,Bronx, BATHGATE                  , 03 THREE FAMILY HOMES    ,5,350000,417200,390000,545000
3,Bronx, BAYCHESTER                , 01 ONE FAMILY HOMES      ,90,217500,357620,353500,700000
4,Bronx, BAYCHESTER                , 02 TWO FAMILY HOMES      ,104,203000,430514,433190,789000
5,Bronx, BAYCHESTER                , 03 THREE FAMILY HOMES    ,22,205000,503351,497000,847567
6,Bronx, BEDFORD PARK/NORWOOD      , 01 ONE FAMILY HOMES      ,9,210000,334611,344500,475000
7,Bronx, BEDFORD PARK/NORWOOD      , 02 TWO FAMILY HOMES      ,34,225000,477797,470000,1150000
8,Bronx, BEDFORD PARK/NORWOOD      , 03 THREE FAMILY HOMES    ,6,271100,432811,436500,680000
9,Bronx, BELMONT                   , 02 TWO FAMILY HOMES      ,19,270000,455824,419000,930000
10,Bronx, BELMONT                   , 03 THREE FAMILY HOMES    ,9,319000,528778,465000,860000
11,Bronx, BRONX PARK                , 02 TWO FAMILY HOMES      ,1,560000,560000,560000,560000
12,Bronx, BRONXDALE                 , 01 ONE FAMILY HOMES      ,46,220000,355666,340000,680000
13,Bronx, BRONXDALE                 , 02 TWO FAMILY HOMES      ,70,207000,475098,459000,1100000
14,Bronx, BRONXDALE                 , 03 THREE FAMILY HOMES    ,15,242100,498638,503958,778223
15,Bronx, CASTLE HILL/UNIONPORT     , 01 ONE FAMILY HOMES      ,31,220000,372382,375000,475000
16,Bronx, CASTLE HILL/UNIONPORT     , 02 TWO FAMILY HOMES      ,46,220000,436233,432500,749112
17,Bronx, CASTLE HILL/UNIONPORT     , 03 THREE FAMILY HOMES    ,16,275000,496723,525000,746000
18,Bronx, CITY ISLAND               , 01 ONE FAMILY HOMES      ,29,200000,473828,405000,1030000
19,Bronx, CITY ISLAND               , 02 TWO FAMILY HOMES      ,8,419000,730500,610000,1625000
20,Bronx, CITY ISLAND               , 03 THREE FAMILY HOMES    ,1,699000,699000,699000,699000
21,Bronx, CITY ISLAND-PELHAM STRIP  , 01 ONE FAMILY HOMES      ,4,736000,1989000,1010000,5200000
22,Bronx, CO-OP CITY                , 01 ONE FAMILY HOMES      ,1,430000,430000,430000,430000
23,Bronx, COUNTRY CLUB              , 01 ONE FAMILY HOMES      ,57,250000,470087,447500,900000
24,Bronx, COUNTRY CLUB              , 02 TWO FAMILY HOMES      ,36,290000,558875,547500,830000
25,Bronx, COUNTRY CLUB              , 03 THREE FAMILY HOMES    ,2,420000,465000,465000,510000
26,Bronx, CROTONA PARK              , 01 ONE FAMILY HOMES      ,4,216000,405520,345662,714757
27,Bronx, CROTONA PARK              , 02 TWO FAMILY HOMES      ,11,209299,388118,400000,550000
28,Bronx, CROTONA PARK              , 03 THREE FAMILY HOMES    ,8,237500,403864,343500,625000
29,Bronx, EAST TREMONT              , 01 ONE FAMILY HOMES      ,9,222500,355167,330000,750000
30,Bronx, EAST TREMONT              , 02 TWO FAMILY HOMES      ,24,200000,394774,417500,570000
31,Bronx, EAST TREMONT              , 03 THREE FAMILY HOMES    ,17,220000,465333,480000,741139
32,Bronx, FIELDSTON                 , 01 ONE FAMILY HOMES      ,15,335000,1497866,1370000,3900000
33,Bronx, FIELDSTON                 , 03 THREE FAMILY HOMES    ,3,877500,892500,900000,900000
34,Bronx, FORDHAM                   , 01 ONE FAMILY HOMES      ,8,200000,422375,399500,750000
35,Bronx, FORDHAM                   , 02 TWO FAMILY HOMES      ,16,214120,431587,410000,1075000
36,Bronx, FORDHAM                   , 03 THREE FAMILY HOMES    ,7,270000,551268,500000,999051
37,Bronx, HIGHBRIDGE/MORRIS HEIGHTS , 01 ONE FAMILY HOMES      ,8,250000,377875,379500,535000
